index,station_name,east_m,north_m
0,E10-1,6984.215192166800,-4114.207065836951
1,E10-2,6940.002014710250,-4093.129281219480
2,E10-3,7049.524628275743,-4087.650449184280
3,E10-4,6987.232998934416,-4049.940474802831
4,E13-1,17349.931476910671,1365.974650951613
5,E13-2,17256.872834481434,1369.205597940028
6,E13-3,17306.999348339836,1381.104187215808
7,E13-4,17259.021387475244,1414.190290190080
8,E8-1,4661.243940926040,-1292.153681006738
9,E8-2,4720.994014821998,-1268.906920541157
10,E8-3,4611.156546577799,-1260.333402259384
11,E8-4,4707.095643224911,-1221.586693202380
12,E9-1,6127.786155697479,1584.741176676368
13,E9-2,6170.060840620146,1619.957900630699
14,E9-3,6124.433732005928,1640.367721212238
15,E9-4,6215.655317719558,1646.640613351698
16,N10-1,-149.137388402447,8154.897303738652
17,N10-2,-191.514705870199,8161.212130118243
18,N10-3,-230.012741780565,8179.715496366140
19,N10-4,-142.571926140059,8202.211227793332
20,N13-1,-9106.668596716334,14569.921552113767
21,N13-2,-9060.594911935770,14581.810454813858
22,N13-3,-9131.574542860133,14604.031312941623
23,N13-4,-9084.516200959395,14628.886289677474
24,N15-1,-7789.336498979574,26522.884263724802
25,N15-2,-7729.773666368657,26541.092939915408
26,N15-3,-7826.423065562487,26567.181274673345
27,N15-4,-7779.605332973984,26575.963648417091
28,N16-1,-10521.498047766205,36153.772791918687
29,N16-2,-10444.456701181298,36181.648763113204
30,N16-3,-10508.379663320706,36203.754014162187
31,N16-4,-10455.358668929712,36224.629842568233
32,N8-1,-1286.405891179740,4625.665129069566
33,N8-2,-1202.970584809203,4659.690936785048
34,N8-3,-1308.786583303364,4666.328683238869
35,N8-4,-1259.460705130695,4684.062359836716
36,N9-1,-4482.364032417186,4448.306998791715
37,N9-2,-4451.944778249763,4482.224831166068
38,N9-3,-4542.246366838732,4488.951927601397
39,N9-4,-4494.714694056223,4501.711674556034
40,S10-1,-7027.725369110821,-4363.757646843398
41,S10-2,-7007.475152420550,-4322.192851819915
42,S10-3,-6962.755990211180,-4318.179152911473
43,S10-4,-7044.754329805866,-4299.498516352681
44,S10-5,-7001.244916315464,-4264.903072591417
45,S10-6,-7057.101250838765,-4256.733640578444
46,S13-1,-10901.207173424900,-13873.137843997429
47,S13-2,-10943.021678229814,-13864.309518348986
48,S13-3,-10901.644928483411,-13827.263991534328
49,S13-4,-10965.809423218036,-13809.699492561334
50,S15-1,-25603.455394711822,-13277.306418575285
51,S15-2,-25658.838586191596,-13242.957250975047
52,S15-3,-25604.439655141534,-13232.652632712914
53,S15-4,-25556.709087813717,-13214.604253294148
54,S16-1,-28259.595913986046,-26086.976869052047
55,S16-2,-28314.594336430629,-26070.145772619828
56,S16-3,-28215.117575874188,-26058.843594904887
57,S16-4,-28262.802532168767,-26029.141647519395
58,S8-1,-3459.546878799272,-3483.233047203178
59,S8-2,-3415.917638514713,-3480.561975978384
60,S8-3,-3373.788211623455,-3442.986540838284
61,S8-4,-3411.958151829628,-3419.838322907740
62,S8-5,-3455.394559986449,-3405.888472698719
63,S8-6,-3421.315225392502,-3367.539692109519
64,S9-1,-1598.974415054091,-6225.924167236461
65,S9-2,-1700.662717009446,-6209.782713238190
66,S9-3,-1647.109019618063,-6179.746833401205
67,S9-4,-1710.903496377868,-6164.685572798162
