index,station_name,east_m,north_m
0,S10-1,-7027.725369110821,-4363.757646843398
1,S10-2,-7007.475152420550,-4322.192851819915
2,S10-3,-6962.755990211180,-4318.179152911473
3,S10-4,-7044.754329805866,-4299.498516352681
4,S10-5,-7001.244916315464,-4264.903072591417
5,S10-6,-7057.101250838765,-4256.733640578444
6,S8-1,-3459.546878799272,-3483.233047203178
7,S8-2,-3415.917638514713,-3480.561975978384
8,S8-3,-3373.788211623455,-3442.986540838284
9,S8-4,-3411.958151829628,-3419.838322907740
10,S8-5,-3455.394559986449,-3405.888472698719
11,S8-6,-3421.315225392502,-3367.539692109519
12,S9-1,-1598.974415054091,-6225.924167236461
13,S9-2,-1700.662717009446,-6209.782713238190
14,S9-3,-1647.109019618063,-6179.746833401205
15,S9-4,-1710.903496377868,-6164.685572798162
