index,station_name,east_m,north_m
0,C1,124.047233715501,-159.553046558966
1,C10,-183.438998316827,56.076088044322
2,C100,126.134467156870,-201.993001273037
3,C101,-72.891483464608,317.027296554746
4,C102,-116.933045653041,248.104995414889
5,C103,277.938310199388,-117.006304026309
6,C104,191.951746323572,274.586188118464
7,C105,-48.832484191217,264.282999032445
8,C106,-264.365077864139,222.284769672844
9,C107,276.750321569289,109.261657920803
10,C108,-247.856964849123,-42.100554817677
11,C109,152.583393237239,293.645728631208
12,C11,-136.714765585088,49.206360118682
13,C110,61.717454670542,298.965594699447
14,C111,-206.102172602745,-162.324985839462
15,C112,12.009025952684,-281.883256482800
16,C113,-122.892274992097,-312.466777012051
17,C114,-250.247123228565,165.995320264579
18,C115,-315.754351901401,-133.738789085116
19,C117,178.524929838759,-187.477631979040
20,C119,256.073654207898,166.770846726284
21,C12,161.330424204530,141.064973103933
22,C120,243.244162290582,-79.553116980144
23,C121,-264.463138668610,124.664121136616
24,C123,202.488447282823,164.000966753759
25,C124,321.185916148461,-12.294401680481
26,C125,-229.164337149436,-231.247170169476
27,C126,281.515843731487,-183.379802261661
28,C128,-244.872023017979,-191.689270443199
29,C129,-309.790781830525,-87.421050556009
30,C13,-1.411451682173,-105.257961882413
31,C130,-45.848680908984,-312.466679320686
32,C132,193.236686582912,-253.186468657652
33,C133,269.793414211607,223.725001056008
34,C135,-318.639658538242,-44.761488043564
35,C137,-206.207259455517,216.745449555596
36,C138,29.804552984071,356.363536425636
37,C139,-150.634651790341,274.808469880989
38,C14,45.312277648136,-82.210250019460
39,C140,-246.563047362341,-148.695823387545
40,C141,269.485536948747,-229.696323888936
41,C142,-25.469231319824,-262.159868605235
42,C143,221.958353630430,-296.188182833172
43,C144,337.987455729536,36.238270066477
44,C145,250.698036519057,-149.915590436458
45,C146,197.618053174343,232.922974635759
46,C147,285.794561285662,11.196792896253
47,C148,-4.592993189111,260.848438065691
48,C149,233.308513625320,257.965044770036
49,C15,-54.498903746811,7.654232392578
50,C150,235.096142901044,124.110576653801
51,C151,-353.833664246799,26.818915384904
52,C153,475.969981625249,-71.914260134348
53,C154,-438.031710029832,-136.180114950445
54,C155,69.572115318246,452.210820024936
55,C156,99.291606762036,-419.728153049311
56,C158,-46.742882451108,-405.100666029402
57,C16,-212.963977631206,4.993892217710
58,C160,-391.802631411454,-213.632627057162
59,C161,-47.939273436567,475.591185363465
60,C162,-292.997336638486,254.418284266368
61,C163,366.598582653405,-250.256983471289
62,C164,238.764363757267,-378.177145467528
63,C165,473.190499362345,16.953880432961
64,C166,101.484437219872,419.300941709048
65,C167,168.481630665876,-332.413188646829
66,C168,-382.368543173573,125.990338538576
67,C17,81.003367314431,101.174988321436
68,C170,-396.189170634879,169.980709886086
69,C171,198.702944885659,-362.220664425446
70,C172,155.955399167850,-385.045650944181
