index,station_name,east_m,north_m
0,S10-3,-6962.755990211180,-4318.179152911473
1,S8-1,-3459.546878799272,-3483.233047203178
2,S8-6,-3421.315225392502,-3367.539692109519
3,S9-2,-1700.662717009446,-6209.782713238190
